timestamp,attentionct_unfiltered,au01ct_linear_causal,au02ct_nonlinear_causal,au04ct_nonlinear_causal,au09ct_linear_causal,au10ct_linear_causal,au15ct_linear_causal,au17ct_nonlinear_causal,au18ct_linear_causal,au24ct_linear_causal,au25ct_nonlinear_causal,au28ct_linear_causal,eye_closurect_nonlinear_causal,smilect_nonlinear_causal,smirkct_nonlinear_causal,joyct_emotion_nonlinear_causal,disgustct_emotion_nonlinear_causal,sadnessct_emotion_nonlinear_causal,angerct_emotion_nonlinear_causal,surprisect_emotion_nonlinear_causal,contemptct_emotion_nonlinear_causal,fearct_emotion_nonlinear_causal,valencect_nonlinear_causal,expressivenessct_nonlinear_causal,Entropy,HeadAngleLeftRight,HeadAngleRoll,HeadAngleUpDown,HighFreqPower,InterOcularDistance,MeanFaceLuminance,MeanFaceLuminanceDiffLR,VarianceFaceLuminance
54285.7148,98.5610046,0.085380554,37.3837891,2.57E-05,0.000431009,2.01E-06,0.082374573,0.057304382,0.002109468,0.22958374,99.9526825,0.001291454,99.8037033,0.000864282,0.341583252,0.003314167,2.56873178,0.000356687,0.016356468,52.921875,0.199777603,1.35951996,0,93.4935913,2.19138288,0.85357666,7.45581055,-4.10296631,202.454102,245.338989,144.760773,28.3692627,2973.58984
54357.1445,98.00354,0.04359436,36.1901398,2.80E-05,0.000766277,9.89E-07,0.070269585,0.133361816,0.001320213,0.696662903,99.898407,0.002151012,99.722023,0.000671297,0.466308594,0.003441274,2.56816673,0.000363272,0.017500401,51.3731384,0.202433586,1.32583046,0,92.9415741,2.1881206,2.4855957,6.11706543,-4.36157227,206.912109,247.321075,144.389206,29.053299,3035.69141
54428.5703,97.20755,0.014993668,35.6445312,2.87E-05,0.001953661,6.25E-07,0.059002876,0.535522461,0.001178831,0.489059448,99.8335037,0.005367041,99.7814407,0.000540182,1.10205078,0.003499053,2.5678196,0.000362923,0.018283606,50.6184082,0.216551781,1.32466125,0,92.6500244,2.18410945,4.24993896,5.7220993,-2.50939941,228.148438,242.915527,145.20929,28.9995117,2980.92188
54500,96.6171875,0.009359121,34.2631836,3.00E-05,0.001018524,7.26E-07,0.042033196,0.660018921,0.001799062,0.149414062,99.8358078,0.004688799,99.6652069,0.000466675,0.910766602,0.003661156,2.5691483,0.000370867,0.019801676,48.8945312,0.21222496,1.29257393,0,91.9490051,2.18012094,5.15136719,5.14280701,-0.225097656,217.984375,243.395386,145.217133,29.4579697,3014.89453
54571.4297,96.971405,0.005180836,33.685791,3.09E-05,0.000315249,6.50E-07,0.025954247,2.79248047,0.001438238,0.100149632,99.7227936,0.02248764,98.9805908,0.000422807,0.829659462,0.003723338,2.56088448,0.000372859,0.022086859,48.0464478,0.210385114,1.28044128,0,91.5767822,2.17654943,4.66461182,3.50439453,1.72153854,213.730469,240.311035,145.30603,30.3362503,3001.10938
54642.8555,97.2750854,0.003711343,34.5744324,3.18E-05,0.000285398,6.14E-07,0.014317036,8.10546875,0.001569927,0.152542114,99.4139404,0.072601318,98.597168,0.000388965,0.724243164,0.003596194,2.54171753,0.000364542,0.025537491,48.80896,0.208053112,1.30126762,0,91.8918381,2.17567205,4.12368774,-3.37792969,0.308410645,211.050781,239.131836,145.454987,30.2201996,2984.66602
54714.2852,97.1981506,0.00225991,34.1254883,3.21E-05,0.001093984,5.61E-07,0.00927186,17.9169922,0.002306163,0.638244629,98.7901001,0.213928223,96.7106934,0.000372118,0.304382324,0.003608286,2.50415039,0.000367969,0.037478447,47.5480957,0.198999882,1.25147247,0,91.2984619,2.17778897,4.26531982,3.18774414,0.866943359,230.0979,233.189697,145.740662,29.8346252,2942.60156
54785.7148,98.2607422,0.002168044,32.6973877,3.37E-05,0.003042698,1.66E-06,0.006065488,12.1982422,0.008742332,0.400848389,98.972908,0.068668366,99.5967102,0.000350211,0.156890869,0.00379388,2.51948214,0.000382746,0.032637477,45.9754639,0.195901275,1.21037292,0,90.5654907,2.18649864,1.66040039,2.50054932,-0.184814453,233.512695,240.470703,144.130615,30.3966064,3043.57812
54857.1445,98.5983276,0.00257954,29.7438965,3.86E-05,0.000955254,4.72E-06,0.004150987,11.5793457,0.027143478,0.103527069,98.9887085,0.019481659,99.5106812,0.000299776,0.092346191,0.004181951,2.52663898,0.000417344,0.037223816,42.3581543,0.194565475,1.11045074,0,88.5969238,2.19753742,-0.045898438,-1.00732422,-2.27001953,218.647217,245.260254,142.016846,31.7008057,3163.07812
54928.5703,98.5628815,0.002970308,25.6037598,4.93E-05,0.000547528,1.19E-05,0.002312779,13.0765991,0.078620911,0.034282684,98.9601288,0.008069992,98.6497803,0.00026522,0.071433544,0.004783601,2.53001308,0.000466086,0.048779011,37.3649902,0.194134891,0.980567932,0,85.2509766,2.2009275,0.85949707,-10.5302734,-4.88513184,230.651367,250.36377,140.637451,33.291748,3263.07812
